name,sex,latest_year,latest_rank,latest_count,first_year,total_count,origin_backgrounds,languages,scripts,variants,meaning,age_style_category,historical_significance_score,semantic_summary
Makayla,F,2020,326,942,1971,104634,,,,,,,,
Evelynn,F,2020,327,937,1914,11056,,,,,,,,
Gia,F,2020,328,933,1957,16929,,,,,,,,
Nina,F,2020,329,933,1880,129114,,,,,,,,
Amina,F,2020,330,930,1943,14372,,,,,,,,
Giselle,F,2020,331,930,1949,45888,,,,,,,,
Brynn,F,2020,332,926,1943,26184,,,,,,,,
Blair,F,2020,333,922,1881,31264,,,,,,,,
Amari,F,2020,334,921,1974,37640,,,,,,,,
Octavia,F,2020,335,917,1880,18425,,,,,,,,
Michelle,F,2020,336,916,1915,815880,,,,,,,,
Talia,F,2020,337,912,1960,28492,,,,,,,,
Demi,F,2020,338,910,1964,10970,,,,,,,,
Alaya,F,2020,339,905,1979,6945,,,,,,,,
Kaylani,F,2020,340,905,1987,5283,,,,,,,,
Izabella,F,2020,341,904,1987,27657,,,,,,,,
Fatima,F,2020,342,902,1919,34439,,,,,,,,
Tatum,F,2020,343,897,1966,28084,,,,,,,,
Makenzie,F,2020,344,895,1975,42494,,,,,,,,
Lilliana,F,2020,345,890,1955,18792,,,,,,,,
Arielle,F,2020,346,883,1962,27255,,,,,,,,
Palmer,F,2020,347,883,1880,11790,,,,,,,,
Melissa,F,2020,348,881,1880,758634,,,,,,,,
Willa,F,2020,349,881,1880,28959,,,,,,,,
Samara,F,2020,350,874,1949,17682,,,,,,,,
Destiny,F,2020,351,871,1956,148762,,,,,,,,
Dahlia,F,2020,352,867,1890,13217,,,,,,,,
Celeste,F,2020,353,865,1881,59211,,,,,,,,
Ainsley,F,2020,354,863,1950,17855,,,,,,,,
Rylie,F,2020,355,863,1983,21019,,,,,,,,
Reign,F,2020,356,862,1994,5937,,,,,,,,
Laura,F,2020,357,860,1880,800076,,,,,,,,
Adelynn,F,2020,358,857,1990,11009,,,,,,,,
Gabrielle,F,2020,359,857,1890,136632,,,,,,,,
Remington,F,2020,360,850,1955,23920,,,,,,,,
Wren,F,2020,361,850,1888,7666,,,,,,,,
Brinley,F,2020,362,848,1987,10471,,,,,,,,
Amora,F,2020,363,846,1984,4552,,,,,,,,
Lainey,F,2020,364,844,1968,10648,,,,,,,,
Collins,F,2020,365,842,1881,8161,,,,,,,,
Lexi,F,2020,366,840,1948,25015,,,,,,,,
Aitana,F,2020,367,838,1995,3697,,,,,,,,
Alessandra,F,2020,368,837,1943,20990,,,,,,,,
Kenzie,F,2020,369,834,1918,19160,,,,,,,,
Raelyn,F,2020,370,830,1949,12051,,,,,,,,
Elle,F,2020,371,827,1977,15546,,,,,,,,
Everlee,F,2020,372,824,1917,3631,,,,,,,,
Haisley,F,2020,373,821,2002,2138,,,,,,,,
Hallie,F,2020,374,820,1880,33550,,,,,,,,
Wynter,F,2020,375,817,1962,6815,,,,,,,,
Daleyza,F,2020,376,816,2012,8875,,,,,,,,
Gwendolyn,F,2020,377,811,1880,120625,,,,,,,,
Paislee,F,2020,378,807,1990,8419,,,,,,,,
Ariyah,F,2020,379,804,1998,6654,,,,,,,,
Veronica,F,2020,380,802,1880,220788,,,,,,,,
Heidi,F,2020,381,801,1929,145343,,,,,,,,
Anaya,F,2020,382,800,1978,13967,,,,,,,,
Cataleya,F,2020,383,798,2011,6228,,,,,,,,
Kira,F,2020,384,798,1938,37002,,,,,,,,
Avianna,F,2020,385,797,1989,6482,,,,,,,,
Felicity,F,2020,386,796,1935,15168,,,,,,,,
Aylin,F,2020,387,795,1973,13006,,,,,,,,
Miracle,F,2020,388,793,1960,18213,,,,,,,,
Sabrina,F,2020,389,793,1916,138740,,,,,,,,
Lana,F,2020,390,790,1885,53521,,,,,,,,
Ophelia,F,2020,391,790,1880,20005,,,,,,,,
Elianna,F,2020,392,786,1978,7963,,,,,,,,
Royalty,F,2020,393,782,2001,4711,,,,,,,,
Madeleine,F,2020,394,781,1881,42010,,,,,,,,
Esmeralda,F,2020,395,779,1911,47551,,,,,,,,
Joy,F,2020,396,778,1883,139577,,,,,,,,
Kalani,F,2020,397,777,1959,7984,,,,,,,,
Esme,F,2020,398,775,1913,6124,,,,,,,,
Jessica,F,2020,399,775,1880,1051458,,,,,,,,
Leighton,F,2020,400,774,1893,16365,,,,,,,,
Ariah,F,2020,401,771,1991,8727,,,,,,,,
Makenna,F,2020,402,771,1982,30358,,,,,,,,
Nylah,F,2020,403,770,1992,10102,,,,,,,,
Viviana,F,2020,404,763,1908,23089,,,,,,,,
Camryn,F,2020,405,762,1974,31713,,,,,,,,
Cassidy,F,2020,406,762,1968,61152,,,,,,,,
Dream,F,2020,407,762,1970,3656,,,,,,,,
Luciana,F,2020,408,762,1897,11777,,,,,,,,
Maisie,F,2020,409,760,1890,7606,,,,,,,,
Stevie,F,2020,410,760,1919,23421,,,,,,,,
Kate,F,2020,411,759,1880,82830,,,,,,,,
Lyric,F,2020,412,756,1928,21676,,,,,,,,
Daniella,F,2020,413,751,1951,30460,,,,,,,,
Alicia,F,2020,414,744,1881,227842,,,,,,,,
Daphne,F,2020,415,744,1886,37365,,,,,,,,
Frances,F,2020,416,736,1880,596544,,,,,,,,
Charli,F,2020,417,735,1975,8320,,,,,,,,
Raven,F,2020,418,735,1921,43990,,,,,,,,
Paris,F,2020,419,733,1881,39454,,,,,,,,
Nayeli,F,2020,420,721,1977,19828,,,,,,,,
Serena,F,2020,421,721,1880,43116,,,,,,,,
Heaven,F,2020,422,720,1971,27591,,,,,,,,
Bianca,F,2020,423,719,1905,74349,,,,,,,,
Helen,F,2020,424,718,1880,1023646,,,,,,,,
Hattie,F,2020,425,717,1880,101680,,,,,,,,
Averie,F,2020,426,715,1985,11014,,,,,,,,
Mabel,F,2020,427,712,1880,136785,,,,,,,,
Selah,F,2020,428,710,1962,10008,,,,,,,,
Allie,F,2020,429,706,1880,53197,,,,,,,,
Marlee,F,2020,430,705,1915,14674,,,,,,,,
Kinley,F,2020,431,703,1917,17664,,,,,,,,
Regina,F,2020,432,703,1880,180516,,,,,,,,
Carmen,F,2020,433,700,1881,155736,,,,,,,,
